id,genre
198,'Adventure'
198, 'RPG'
199,'Adventure'
199, 'RPG'
199, 'Turn Based Strategy'
200,'Adventure'
200, 'Brawler'
200, 'Platform'
201,'Adventure'
201, 'RPG'
201, 'Shooter'
202,'Racing'
203,'Adventure'
203, 'RPG'
203, 'Shooter'
203, 'Strategy'
204,'Brawler'
205,'Adventure'
205, 'Platform'
206,'Adventure'
206, 'Platform'
207,'Shooter'
208,'Adventure'
208, 'RPG'
209,'Adventure'
209, 'Platform'
209, 'Shooter'
210,'Adventure'
210, 'Indie'
211,'Shooter'
212,'Adventure'
212, 'Platform'
213,'Adventure'
213, 'Indie'
213, 'RPG'
214,'Adventure'
214, 'RPG'
214, 'Simulator'
215,'Indie'
215, 'Simulator'
216,'Adventure'
216, 'Shooter'
217,'RPG'
217, 'Shooter'
218,'Adventure'
218, 'RPG'
218, 'Shooter'
219,'RPG'
220,'Adventure'
220, 'Arcade'
220, 'Indie'
220, 'Shooter'
221,'Adventure'
221, 'Indie'
221, 'Visual Novel'
222,'Adventure'
222, 'Indie'
222, 'Platform'
223,'Adventure'
223, 'Indie'
224,'Adventure'
224, 'RPG'
225,'Adventure'
225, 'Brawler'
225, 'Indie'
225, 'Platform'
225, 'RPG'
226,'Adventure'
226, 'RPG'
226, 'Strategy'
227,'Indie'
227, 'Point-and-Click'
227, 'Simulator'
228,'Adventure'
228, 'Shooter'
229,'Adventure'
229, 'Brawler'
229, 'Shooter'
230,'Adventure'
230, 'Shooter'
231,'Adventure'
231, 'Indie'
231, 'Platform'
232,'Adventure'
232, 'RPG'
232, 'Shooter'
232, 'Strategy'
233,'Adventure'
233, 'Indie'
233, 'Puzzle'
234,'Adventure'
234, 'RPG'
235,'Adventure'
235, 'Platform'
236,'Arcade'
236, 'Puzzle'
237,'Shooter'
237, 'Tactical'
238,'Adventure'
238, 'Platform'
239,'Adventure'
239, 'Platform'
239, 'Shooter'
240,'Adventure'
240, 'Visual Novel'
241,'Adventure'
241, 'Indie'
242,'Shooter'
243,'Adventure'
243, 'Indie'
243, 'Point-and-Click'
243, 'Simulator'
243, 'Strategy'
244,'Adventure'
244, 'Platform'
245,'Adventure'
245, 'RPG'
245, 'Turn Based Strategy'
246,'Adventure'
246, 'Indie'
247,'Adventure'
247, 'Shooter'
247, 'Tactical'
248,'Adventure'
248, 'Indie'
248, 'Platform'
248, 'Puzzle'
248, 'RPG'
249,'Fighting'
249, 'Platform'
250,'Platform'
251,'Fighting'
252,'Adventure'
252, 'Visual Novel'
253,'Adventure'
253, 'Brawler'
253, 'Platform'
253, 'RPG'
253, 'Shooter'
254,'Adventure'
254, 'Indie'
254, 'Puzzle'
254, 'Shooter'
255,'Adventure'
256,'RPG'
256, 'Simulator'
256, 'Visual Novel'
257,'Puzzle'
257, 'Quiz/Trivia'
258,'RPG'
258, 'Simulator'
259,'Adventure'
259, 'Shooter'
259, 'Tactical'
260,'Adventure'
260, 'Platform'
260, 'Strategy'
261,'Adventure'
261, 'Indie'
261, 'Point-and-Click'
261, 'Puzzle'
261, 'RPG'
262,'Indie'
262, 'Puzzle'
262, 'Strategy'
263,'Adventure'
263, 'RPG'
264,'Fighting'
264, 'Platform'
265,'Adventure'
265, 'Platform'
266,'Shooter'
267,'Adventure'
267, 'Brawler'
267, 'RPG'
268,'Adventure'
268, 'Platform'
269,'Adventure'
269, 'Puzzle'
269, 'Simulator'
269, 'Visual Novel'
270,'Adventure'
270, 'Platform'
270, 'Shooter'
271,'Adventure'
271, 'RPG'
272,'Adventure'
272, 'Brawler'
273,'Adventure'
273, 'Platform'
274,'Adventure'
274, 'Puzzle'
275,'Adventure'
275, 'Puzzle'
276,'Adventure'
276, 'Platform'
276, 'Shooter'
277,'Adventure'
277, 'RPG'
278,'Adventure'
278, 'Platform'
279,'Adventure'
280,'Adventure'
280, 'RPG'
280, 'Turn Based Strategy'
281,'Adventure'
281, 'Indie'
281, 'Point-and-Click'
281, 'RPG'
281, 'Simulator'
281, 'Visual Novel'
282,'RPG'
282, 'Shooter'
283,'Adventure'
283, 'Indie'
283, 'Platform'
284,'Platform'
285,'Adventure'
285, 'Shooter'
286,'Platform'
286, 'RPG'
287,'Adventure'
287, 'Platform'
287, 'Shooter'
288,'Adventure'
288, 'Shooter'
289,'Adventure'
289, 'RPG'
289, 'Shooter'
290,'Adventure'
290, 'Indie'
290, 'Simulator'
291,'Adventure'
291, 'RPG'
292,'Adventure'
292, 'Shooter'
293,'Adventure'
293, 'Shooter'
293, 'Tactical'
294,'Music'
295,'Indie'
295, 'Music'
296,'Adventure'
296, 'RPG'
297,'Adventure'
297, 'RPG'
298,'Brawler'
298, 'RPG'
298, 'Simulator'
298, 'Strategy'
298, 'Tactical'
299,'Fighting'
300,'Adventure'
300, 'RPG'
300, 'Strategy'
300, 'Turn Based Strategy'
301,'Adventure'
301, 'Platform'
301, 'RPG'
302,'Adventure'
302, 'Brawler'
303,'Adventure'
303, 'Brawler'
304,'RPG'
305,'Adventure'
305, 'RPG'
306,'Adventure'
306, 'Indie'
306, 'Puzzle'
307,'Brawler'
307, 'RPG'
308,'Platform'
309,'RPG'
309, 'Strategy'
309, 'Tactical'
310,'Adventure'
310, 'Brawler'
310, 'Puzzle'
311,'Adventure'
311, 'Platform'
312,'Adventure'
312, 'RPG'
312, 'Strategy'
312, 'Turn Based Strategy'
313,'Adventure'
313, 'RPG'
314,'Shooter'
315,'Fighting'
316,'Arcade'
317,'Adventure'
318,'Adventure'
318, 'RPG'
318, 'Simulator'
318, 'Strategy'
318, 'Turn Based Strategy'
319,'Adventure'
319, 'Indie'
319, 'Platform'
319, 'Simulator'
320,'Adventure'
320, 'Platform'
320, 'Puzzle'
321,'Adventure'
321, 'RPG'
321, 'Shooter'
322,'Strategy'
322, 'Tactical'
323,'Adventure'
323, 'Arcade'
323, 'Indie'
323, 'Music'
324,'Adventure'
324, 'RPG'
324, 'Shooter'
325,'Fighting'
325, 'Visual Novel'
326,'Adventure'
326, 'RPG'
327,'Adventure'
327, 'Brawler'
327, 'Indie'
327, 'RPG'
328,'Adventure'
328, 'RPG'
329,'Adventure'
329, 'Indie'
329, 'RPG'
329, 'Turn Based Strategy'
330,'Adventure'
330, 'Indie'
330, 'Platform'
331,'Adventure'
331, 'Simulator'
332,'Adventure'
332, 'Indie'
332, 'RPG'
332, 'Turn Based Strategy'
333,'Adventure'
333, 'Platform'
334,'Indie'
334, 'Strategy'
335,'Brawler'
335, 'RPG'
336,'Adventure'
336, 'RPG'
336, 'Turn Based Strategy'
337,'Adventure'
337, 'Indie'
