Id_game,Genres
225,"['Adventure', 'Brawler', 'Indie', 'Platform', 'RPG']"
226,"['Adventure', 'RPG', 'Strategy']"
227,"['Indie', 'Point-and-Click', 'Simulator']"
228,"['Adventure', 'Shooter']"
229,"['Adventure', 'Brawler', 'Shooter']"
230,"['Adventure', 'Shooter']"
231,"['Adventure', 'Indie', 'Platform']"
232,"['Adventure', 'RPG', 'Shooter', 'Strategy']"
233,"['Adventure', 'Indie', 'Puzzle']"
234,"['Adventure', 'RPG']"
235,"['Adventure', 'Platform']"
236,"['Arcade', 'Puzzle']"
237,"['Shooter', 'Tactical']"
238,"['Adventure', 'Platform']"
239,"['Adventure', 'Platform', 'Shooter']"
240,"['Adventure', 'Visual Novel']"
241,"['Adventure', 'Indie']"
242,['Shooter']
243,"['Adventure', 'Indie', 'Point-and-Click', 'Simulator', 'Strategy']"
244,"['Adventure', 'Platform']"
245,"['Adventure', 'RPG', 'Turn Based Strategy']"
246,"['Adventure', 'Indie']"
247,"['Adventure', 'Shooter', 'Tactical']"
248,"['Adventure', 'Indie', 'Platform', 'Puzzle', 'RPG']"
249,"['Fighting', 'Platform']"
250,['Platform']
251,['Fighting']
252,"['Adventure', 'Visual Novel']"
253,"['Adventure', 'Brawler', 'Platform', 'RPG', 'Shooter']"
254,"['Adventure', 'Indie', 'Puzzle', 'Shooter']"
255,['Adventure']
256,"['RPG', 'Simulator', 'Visual Novel']"
257,"['Puzzle', 'Quiz/Trivia']"
258,"['RPG', 'Simulator']"
259,"['Adventure', 'Shooter', 'Tactical']"
260,"['Adventure', 'Platform', 'Strategy']"
261,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle', 'RPG']"
262,"['Indie', 'Puzzle', 'Strategy']"
263,"['Adventure', 'RPG']"
264,"['Fighting', 'Platform']"
265,"['Adventure', 'Platform']"
266,['Shooter']
267,"['Adventure', 'Brawler', 'RPG']"
268,"['Adventure', 'Platform']"
269,"['Adventure', 'Puzzle', 'Simulator', 'Visual Novel']"
270,"['Adventure', 'Platform', 'Shooter']"
271,"['Adventure', 'RPG']"
272,"['Adventure', 'Brawler']"
273,"['Adventure', 'Platform']"
274,"['Adventure', 'Puzzle']"
275,"['Adventure', 'Puzzle']"
276,"['Adventure', 'Platform', 'Shooter']"
277,"['Adventure', 'RPG']"
278,"['Adventure', 'Platform']"
279,['Adventure']
280,"['Adventure', 'RPG', 'Turn Based Strategy']"
281,"['Adventure', 'Indie', 'Point-and-Click', 'RPG', 'Simulator', 'Visual Novel']"
282,"['RPG', 'Shooter']"
283,"['Adventure', 'Indie', 'Platform']"
284,['Platform']
285,"['Adventure', 'Shooter']"
286,"['Platform', 'RPG']"
287,"['Adventure', 'Platform', 'Shooter']"
288,"['Adventure', 'Shooter']"
289,"['Adventure', 'RPG', 'Shooter']"
290,"['Adventure', 'Indie', 'Simulator']"
291,"['Adventure', 'RPG']"
292,"['Adventure', 'Shooter']"
293,"['Adventure', 'Shooter', 'Tactical']"
294,['Music']
295,"['Indie', 'Music']"
296,"['Adventure', 'RPG']"
297,"['Adventure', 'RPG']"
298,"['Brawler', 'RPG', 'Simulator', 'Strategy', 'Tactical']"
299,['Fighting']
300,"['Adventure', 'RPG', 'Strategy', 'Turn Based Strategy']"
301,"['Adventure', 'Platform', 'RPG']"
302,"['Adventure', 'Brawler']"
303,"['Adventure', 'Brawler']"
304,['RPG']
305,"['Adventure', 'RPG']"
306,"['Adventure', 'Indie', 'Puzzle']"
307,"['Brawler', 'RPG']"
308,['Platform']
309,"['RPG', 'Strategy', 'Tactical']"
310,"['Adventure', 'Brawler', 'Puzzle']"
311,"['Adventure', 'Platform']"
312,"['Adventure', 'RPG', 'Strategy', 'Turn Based Strategy']"
313,"['Adventure', 'RPG']"
314,['Shooter']
315,['Fighting']
316,['Arcade']
317,['Adventure']
318,"['Adventure', 'RPG', 'Simulator', 'Strategy', 'Turn Based Strategy']"
319,"['Adventure', 'Indie', 'Platform', 'Simulator']"
320,"['Adventure', 'Platform', 'Puzzle']"
321,"['Adventure', 'RPG', 'Shooter']"
322,"['Strategy', 'Tactical']"
323,"['Adventure', 'Arcade', 'Indie', 'Music']"
324,"['Adventure', 'RPG', 'Shooter']"
325,"['Fighting', 'Visual Novel']"
326,"['Adventure', 'RPG']"
327,"['Adventure', 'Brawler', 'Indie', 'RPG']"
328,"['Adventure', 'RPG']"
329,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
330,"['Adventure', 'Indie', 'Platform']"
331,"['Adventure', 'Simulator']"
332,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
333,"['Adventure', 'Platform']"
334,"['Indie', 'Strategy']"
335,"['Brawler', 'RPG']"
336,"['Adventure', 'RPG', 'Turn Based Strategy']"
337,"['Adventure', 'Indie']"
338,"['Adventure', 'Brawler', 'RPG']"
339,"['Adventure', 'Platform', 'Puzzle', 'Shooter']"
340,"['Adventure', 'RPG']"
341,"['Adventure', 'Indie', 'Platform']"
342,"['Adventure', 'Brawler', 'RPG', 'Simulator']"
343,"['Adventure', 'RPG', 'Shooter']"
344,"['Platform', 'Puzzle', 'Shooter']"
345,"['Adventure', 'Platform']"
346,"['Adventure', 'RPG', 'Turn Based Strategy']"
347,"['Adventure', 'Brawler', 'Music', 'Platform']"
348,"['Adventure', 'Brawler', 'Shooter', 'Strategy']"
349,"['Adventure', 'Shooter']"
350,"['Adventure', 'RPG', 'Shooter']"
351,"['Adventure', 'Brawler']"
352,"['Adventure', 'RPG']"
353,"['Adventure', 'Platform']"
354,"['Adventure', 'Indie', 'RPG']"
355,"['Adventure', 'Brawler']"
356,"['Adventure', 'RPG']"
357,"['Adventure', 'RPG']"
358,"['Adventure', 'Platform']"
359,"['Fighting', 'Platform']"
360,"['Arcade', 'Indie', 'Platform', 'Shooter']"
361,"['Adventure', 'Brawler']"
362,"['Adventure', 'RPG', 'Turn Based Strategy']"
363,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']"
364,"['Adventure', 'RPG']"
365,"['Adventure', 'Indie']"
366,"['Adventure', 'Shooter']"
367,"['Adventure', 'Platform']"
368,"['RPG', 'Shooter']"
369,"['Adventure', 'Indie', 'Puzzle', 'Simulator']"
370,"['Adventure', 'Shooter']"
371,['Shooter']
372,"['Adventure', 'RPG', 'Turn Based Strategy']"
373,"['Brawler', 'Shooter']"
374,"['Indie', 'RPG', 'Simulator', 'Strategy']"
375,"['Adventure', 'Shooter']"
376,"['Adventure', 'Puzzle']"
377,"['Adventure', 'RPG']"
378,"['Adventure', 'RPG', 'Turn Based Strategy']"
379,['Shooter']
380,"['Adventure', 'RPG']"
381,"['Indie', 'Platform', 'Shooter', 'Visual Novel']"
382,"['Adventure', 'Brawler']"
383,['Shooter']
384,['Shooter']
385,"['Adventure', 'RPG']"
386,"['Adventure', 'Platform']"
387,"['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy']"
388,"['Adventure', 'Indie', 'Puzzle', 'RPG']"
389,"['Adventure', 'RPG']"
390,"['Adventure', 'RPG']"
391,"['Arcade', 'Indie', 'RPG']"
392,"['Adventure', 'Brawler']"
393,"['Adventure', 'Brawler', 'RPG']"
394,"['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']"
395,['Shooter']
396,"['Adventure', 'RPG']"
397,"['Platform', 'Shooter']"
398,['Arcade']
399,"['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']"
400,"['Adventure', 'RPG']"
401,"['Adventure', 'RPG']"
402,"['Adventure', 'Shooter']"
403,"['Adventure', 'Platform', 'Puzzle']"
404,"['Arcade', 'Brawler', 'Indie']"
405,"['Adventure', 'Platform']"
406,"['RPG', 'Shooter']"
407,"['Adventure', 'Shooter']"
408,"['Adventure', 'Puzzle', 'RPG']"
409,"['Adventure', 'Puzzle']"
410,"['Fighting', 'Platform']"
411,"['RPG', 'Shooter']"
412,"['Adventure', 'Brawler']"
413,"['Adventure', 'Brawler', 'RPG']"
414,"['Brawler', 'Indie']"
415,['Platform']
416,"['Adventure', 'RPG']"
417,"['Adventure', 'Shooter', 'Tactical']"
418,"['Adventure', 'Platform']"
419,"['Adventure', 'RPG']"
420,"['Adventure', 'Shooter']"
421,['Shooter']
422,['RPG']
423,"['Adventure', 'Shooter']"
424,['Platform']
425,"['Indie', 'Racing', 'Sport']"
426,"['Adventure', 'Brawler']"
427,['Brawler']
428,"['Adventure', 'RPG', 'Turn Based Strategy']"
429,['Fighting']
430,"['Simulator', 'Sport']"
431,"['Adventure', 'RPG']"
432,['Racing']
433,"['Adventure', 'Shooter']"
434,"['Indie', 'Point-and-Click', 'Puzzle', 'Simulator']"
435,"['Adventure', 'RPG', 'Shooter']"
436,"['Adventure', 'RPG']"
437,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
438,"['Adventure', 'RPG', 'Shooter']"
439,"['Adventure', 'Platform', 'Puzzle', 'Shooter']"
440,"['Adventure', 'Platform']"
441,"['Adventure', 'Platform']"
442,"['Adventure', 'Indie', 'Puzzle']"
443,"['Adventure', 'Brawler', 'RPG']"
444,"['Adventure', 'RPG', 'Turn Based Strategy']"
445,"['Brawler', 'RPG']"
446,"['Adventure', 'Platform']"
447,"['Adventure', 'RPG', 'Turn Based Strategy']"
448,['Shooter']
449,"['Adventure', 'Platform']"
450,"['Adventure', 'Platform', 'Puzzle']"
451,"['Adventure', 'RPG']"
452,"['Adventure', 'Platform', 'Puzzle']"
453,"['Adventure', 'RPG']"
454,"['Adventure', 'RPG']"
455,['Adventure']
456,"['Adventure', 'Platform']"
457,"['Adventure', 'RPG']"
458,['Shooter']
459,"['Adventure', 'Platform', 'Shooter']"
460,"['Adventure', 'RPG', 'Turn Based Strategy']"
461,"['Adventure', 'Indie']"
462,['Adventure']
463,"['Adventure', 'Puzzle', 'Visual Novel']"
464,"['Adventure', 'Puzzle']"
465,"['Adventure', 'RPG']"
466,"['Adventure', 'RPG', 'Turn Based Strategy']"
467,"['Adventure', 'Brawler', 'Platform']"
468,"['Adventure', 'RPG', 'Shooter']"
469,['Racing']
470,"['Adventure', 'RPG', 'Shooter', 'Strategy']"
471,['Brawler']
472,"['Adventure', 'Platform']"
473,"['Adventure', 'Platform']"
474,['Shooter']
475,"['Adventure', 'RPG']"
476,"['Adventure', 'Platform', 'Shooter']"
477,"['Adventure', 'Indie']"
478,['Shooter']
479,"['Adventure', 'Platform']"
480,"['Adventure', 'Indie', 'RPG']"
481,"['Adventure', 'RPG', 'Simulator']"
482,"['Indie', 'Simulator']"
483,"['Adventure', 'Shooter']"
484,"['RPG', 'Shooter']"
485,"['Adventure', 'RPG', 'Shooter']"
486,['RPG']
487,"['Adventure', 'Arcade', 'Indie', 'Shooter']"
488,"['Adventure', 'Indie', 'Visual Novel']"
489,"['Adventure', 'Indie', 'Platform']"
490,"['Adventure', 'Indie']"
491,"['Adventure', 'RPG']"
492,"['Adventure', 'Brawler', 'Indie', 'Platform', 'RPG']"
493,"['Adventure', 'RPG', 'Strategy']"
494,"['Indie', 'Point-and-Click', 'Simulator']"
495,"['Adventure', 'Shooter']"
496,"['Adventure', 'Brawler', 'Shooter']"
497,"['Adventure', 'Shooter']"
498,"['Adventure', 'Indie', 'Platform']"
499,"['Adventure', 'RPG', 'Shooter', 'Strategy']"
500,"['Adventure', 'Indie', 'Puzzle']"
501,"['Adventure', 'RPG']"
502,"['Adventure', 'Platform']"
503,"['Arcade', 'Puzzle']"
504,"['Shooter', 'Tactical']"
505,"['Adventure', 'Platform']"
506,"['Adventure', 'Platform', 'Shooter']"
507,"['Adventure', 'Visual Novel']"
508,"['Adventure', 'Indie']"
509,['Shooter']
510,"['Adventure', 'Indie', 'Point-and-Click', 'Simulator', 'Strategy']"
511,"['Adventure', 'Platform']"
512,['Platform']
513,"['Adventure', 'Shooter']"
514,"['Adventure', 'Visual Novel']"
515,"['Adventure', 'Indie']"
516,"['Adventure', 'Arcade', 'Indie', 'RPG', 'Shooter']"
517,['Adventure']
518,"['Adventure', 'Puzzle']"
519,['Racing']
520,"['Adventure', 'Brawler', 'Indie', 'RPG']"
521,"['Adventure', 'Indie', 'Platform', 'RPG']"
522,['Card & Board Game']
523,['Adventure']
524,['Racing']
525,"['RPG', 'Turn Based Strategy']"
526,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']"
527,"['Adventure', 'Puzzle']"
528,"['Adventure', 'RPG']"
529,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Turn Based Strategy']"
530,"['Adventure', 'Shooter']"
531,"['Adventure', 'Music', 'Shooter']"
532,"['Adventure', 'RPG', 'Turn Based Strategy']"
533,"['Adventure', 'Indie']"
534,"['Adventure', 'Shooter', 'Tactical']"
535,"['Adventure', 'Indie', 'Platform', 'Puzzle', 'RPG']"
536,"['Fighting', 'Platform']"
537,['Platform']
538,['Fighting']
539,"['Adventure', 'Visual Novel']"
540,"['Adventure', 'Brawler', 'Platform', 'RPG', 'Shooter']"
541,"['Adventure', 'Indie', 'Puzzle', 'Shooter']"
542,['Adventure']
543,"['RPG', 'Simulator', 'Visual Novel']"
544,"['Puzzle', 'Quiz/Trivia']"
545,"['RPG', 'Simulator']"
546,"['Adventure', 'Shooter', 'Tactical']"
547,"['Adventure', 'Platform', 'Strategy']"
548,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle', 'RPG']"
549,"['Indie', 'Puzzle', 'Strategy']"
550,"['Adventure', 'RPG']"
551,"['Fighting', 'Platform']"
552,"['Adventure', 'Platform']"
553,['Shooter']
554,"['Adventure', 'Brawler', 'RPG']"
555,"['Adventure', 'Platform']"
556,"['Adventure', 'Puzzle', 'Simulator', 'Visual Novel']"
557,"['Adventure', 'Platform', 'Shooter']"
558,"['Adventure', 'RPG']"
559,"['Adventure', 'Brawler']"
560,"['Adventure', 'Platform']"
561,"['Adventure', 'Puzzle']"
562,"['Adventure', 'Puzzle']"
563,"['Adventure', 'Platform', 'Shooter']"
564,"['Adventure', 'RPG']"
565,"['Adventure', 'Platform']"
566,['Adventure']
567,"['Adventure', 'RPG', 'Turn Based Strategy']"
568,"['Adventure', 'Indie', 'Point-and-Click', 'RPG', 'Simulator', 'Visual Novel']"
569,"['RPG', 'Shooter']"
570,"['Adventure', 'Indie', 'Platform']"
571,['Platform']
572,['Shooter']
573,"['Adventure', 'RPG']"
574,"['Adventure', 'Shooter']"
575,"['Adventure', 'Shooter']"
576,"['Adventure', 'Simulator']"
577,['Shooter']
578,"['Adventure', 'Shooter']"
579,"['Adventure', 'RPG', 'Shooter', 'Simulator', 'Strategy']"
580,"['Adventure', 'Point-and-Click', 'Puzzle']"
581,"['Adventure', 'RPG']"
582,['Shooter']
583,"['Adventure', 'RPG']"
584,"['Adventure', 'Indie', 'Shooter']"
585,"['Adventure', 'RPG']"
586,"['Adventure', 'Indie', 'Shooter', 'Sport']"
587,['RPG']
588,"['Adventure', 'RPG', 'Strategy', 'Turn Based Strategy']"
589,"['Card & Board Game', 'Simulator', 'Strategy']"
590,"['Adventure', 'Fighting']"
591,['Arcade']
592,"['RPG', 'Strategy']"
593,['Fighting']
594,['RPG']
595,"['Adventure', 'Brawler', 'RPG']"
596,"['Adventure', 'Indie', 'Platform']"
597,"['Adventure', 'RPG']"
598,"['Adventure', 'Platform']"
599,"['Arcade', 'Fighting']"
600,"['Adventure', 'Point-and-Click', 'Puzzle']"
601,"['RPG', 'Shooter']"
602,"['Adventure', 'Platform']"
603,"['Adventure', 'Indie', 'Puzzle', 'RPG']"
604,['Shooter']
605,"['Adventure', 'Indie', 'Puzzle', 'Simulator', 'Strategy']"
606,"['Adventure', 'Platform']"
607,"['Adventure', 'Shooter']"
608,"['Adventure', 'RPG', 'Turn Based Strategy']"
609,"['Card & Board Game', 'Indie', 'Puzzle', 'RPG', 'Simulator', 'Strategy', 'Turn Based Strategy']"
610,"['Card & Board Game', 'Strategy']"
611,"['Adventure', 'RPG']"
612,"['Adventure', 'Indie', 'Point-and-Click', 'Simulator', 'Strategy']"
613,['Fighting']
614,"['Adventure', 'Visual Novel']"
615,"['Adventure', 'RPG']"
616,['Brawler']
617,['RPG']
618,"['Adventure', 'Indie', 'Platform', 'RPG']"
619,"['Adventure', 'Puzzle', 'RPG']"
620,"['Adventure', 'Platform']"
621,['Adventure']
622,"['Adventure', 'Platform', 'Shooter']"
623,"['Shooter', 'Strategy']"
624,"['Adventure', 'RPG']"
625,"['Adventure', 'RPG']"
626,"['Adventure', 'Indie', 'Puzzle']"
627,"['Brawler', 'RPG']"
628,['Platform']
629,"['RPG', 'Strategy', 'Tactical']"
630,"['Adventure', 'Brawler', 'Puzzle']"
631,"['Adventure', 'Platform']"
632,['Sport']
633,"['Adventure', 'RPG', 'Strategy']"
634,['Shooter']
635,"['Simulator', 'Sport']"
636,['Racing']
637,"['Adventure', 'Puzzle', 'RPG', 'Strategy', 'Visual Novel']"
638,"['Adventure', 'RPG', 'Shooter']"
639,"['Music', 'Simulator']"
640,"['Simulator', 'Strategy', 'Turn Based Strategy']"
641,"['Adventure', 'Brawler', 'RPG']"
642,['Shooter']
643,"['RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']"
644,"['Adventure', 'Indie', 'Music', 'Puzzle', 'RPG']"
645,['Fighting']
646,"['Adventure', 'Shooter']"
647,"['Adventure', 'RPG', 'Shooter']"
648,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']"
649,"['Adventure', 'Shooter']"
650,"['Adventure', 'RPG']"
651,"['Adventure', 'Indie', 'Music', 'RPG']"
652,"['Adventure', 'Indie', 'Simulator', 'Strategy']"
653,"['Adventure', 'RPG', 'Strategy']"
654,"['Adventure', 'Brawler']"
655,"['Adventure', 'RPG', 'Turn Based Strategy']"
656,"['RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']"
657,"['Indie', 'RPG', 'Simulator', 'Strategy', 'Turn Based Strategy']"
658,"['Adventure', 'Platform', 'Shooter']"
659,"['Adventure', 'RPG', 'Strategy', 'Visual Novel']"
660,"['Adventure', 'Indie', 'RPG', 'Visual Novel']"
661,"['Shooter', 'Strategy']"
662,"['Adventure', 'Shooter']"
663,"['Brawler', 'Platform']"
664,"['Adventure', 'Puzzle']"
665,"['Shooter', 'Simulator']"
666,['Fighting']
667,"['Adventure', 'Brawler', 'Shooter']"
668,['Adventure']
669,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']"
670,"['Brawler', 'RPG']"
