Id,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
530,0.55,0.84,0.11,0.31,1.81
1150,1.1,0.51,0.12,0.08,1.81
317,0.52,0.88,0.06,0.34,1.79
718,0.45,0.94,0.06,0.33,1.78
1509,0.41,0.46,0.72,0.19,1.78
1175,0.85,0.31,0.56,0.04,1.76
849,0.72,0.69,0.04,0.31,1.76
885,0.9,0.37,0.25,0.24,1.75
1303,1.24,0.45,0.0,0.07,1.75
1274,0.94,0.34,0.21,0.27,1.75
537,0.79,0.14,0.8,0.02,1.75
650,0.63,0.49,0.45,0.17,1.74
789,0.83,0.63,0.02,0.25,1.74
631,0.96,0.61,0.01,0.16,1.74
82,0.64,0.68,0.14,0.26,1.73
882,1.06,0.52,0.01,0.14,1.73
293,0.41,0.98,0.0,0.33,1.72
1375,0.99,0.64,0.0,0.08,1.71
712,0.88,0.54,0.02,0.25,1.69
1105,1.01,0.53,0.01,0.14,1.69
1042,0.96,0.44,0.08,0.22,1.69
1218,0.98,0.52,0.0,0.19,1.69
834,0.98,0.42,0.22,0.06,1.69
673,0.9,0.64,0.0,0.15,1.68
177,1.18,0.27,0.17,0.06,1.68
1092,1.22,0.39,0.0,0.06,1.67
1082,0.86,0.64,0.01,0.14,1.66
1370,0.96,0.12,0.54,0.04,1.66
1454,1.54,0.1,0.0,0.02,1.65
1326,0.54,0.88,0.0,0.22,1.64
985,0.44,0.89,0.05,0.25,1.64
458,0.58,0.81,0.0,0.24,1.63
914,0.6,0.73,0.02,0.28,1.63
718,0.59,0.85,0.02,0.17,1.62
546,0.79,0.68,0.01,0.13,1.61
875,0.71,0.48,0.3,0.1,1.6
1225,0.19,0.02,1.36,0.02,1.6
1034,1.15,0.36,0.04,0.04,1.59
993,0.58,0.46,0.34,0.21,1.59
1224,0.95,0.5,0.0,0.14,1.59
483,0.47,0.8,0.03,0.29,1.58
1493,0.94,0.49,0.0,0.15,1.58
1477,1.32,0.19,0.0,0.05,1.56
806,0.58,0.44,0.33,0.21,1.56
630,0.59,0.75,0.01,0.21,1.56
882,0.72,0.54,0.04,0.25,1.55
485,0.85,0.47,0.02,0.22,1.55
775,0.8,0.53,0.0,0.22,1.55
1163,0.6,0.51,0.21,0.23,1.55
1381,0.58,0.87,0.0,0.09,1.54
474,0.63,0.69,0.0,0.21,1.53
1293,0.57,0.79,0.0,0.17,1.53
1393,1.19,0.29,0.0,0.05,1.53
751,0.73,0.52,0.15,0.12,1.52
983,0.94,0.45,0.0,0.13,1.52
1379,0.6,0.63,0.03,0.26,1.52
555,0.93,0.15,0.42,0.01,1.51
1293,0.35,0.03,0.0,1.13,1.51
1077,1.0,0.36,0.09,0.05,1.5
1386,1.13,0.2,0.0,0.16,1.5
709,0.82,0.36,0.25,0.06,1.49
468,0.78,0.47,0.03,0.2,1.48
1481,0.82,0.59,0.0,0.07,1.48
798,0.45,0.4,0.44,0.18,1.47
1125,0.69,0.2,0.49,0.09,1.47
775,0.95,0.4,0.0,0.12,1.47
289,0.63,0.59,0.03,0.21,1.46
673,0.94,0.4,0.0,0.11,1.46
892,0.86,0.46,0.0,0.13,1.45
845,0.75,0.49,0.01,0.21,1.45
546,0.33,0.79,0.08,0.23,1.44
1376,1.23,0.07,0.02,0.11,1.44
983,0.73,0.5,0.0,0.21,1.44
958,0.89,0.22,0.22,0.1,1.42
914,0.71,0.57,0.0,0.14,1.42
74,0.57,0.12,0.71,0.02,1.42
904,0.89,0.4,0.0,0.13,1.42
590,0.97,0.34,0.0,0.11,1.41
458,0.82,0.47,0.0,0.12,1.4
1300,0.0,0.0,1.39,0.01,1.4
314,0.38,0.86,0.0,0.16,1.4
601,0.5,0.6,0.07,0.23,1.39
1434,1.19,0.16,0.0,0.03,1.39
601,0.76,0.48,0.02,0.12,1.39
631,0.74,0.5,0.01,0.13,1.37
1224,0.55,0.6,0.0,0.22,1.37
1011,0.66,0.51,0.05,0.13,1.35
593,1.0,0.21,0.0,0.13,1.35
993,0.79,0.34,0.08,0.13,1.35
1334,0.7,0.5,0.02,0.12,1.35
1393,1.03,0.27,0.0,0.04,1.34
582,0.65,0.51,0.0,0.17,1.34
1101,0.87,0.35,0.07,0.04,1.33
491,0.4,0.36,0.4,0.17,1.32
962,0.52,0.43,0.18,0.19,1.32
1511,0.69,0.52,0.0,0.11,1.32
1392,0.71,0.42,0.05,0.13,1.31
1334,0.45,0.57,0.06,0.21,1.3
1105,0.56,0.44,0.09,0.21,1.3
470,0.45,0.46,0.17,0.2,1.28
621,0.61,0.56,0.0,0.11,1.28
986,0.48,0.35,0.36,0.07,1.28
826,0.62,0.49,0.0,0.16,1.28
73,0.58,0.4,0.21,0.08,1.27
1192,0.54,0.05,0.62,0.05,1.26
595,0.49,0.0,0.01,0.75,1.25
590,0.48,0.53,0.01,0.23,1.25
1420,1.01,0.04,0.03,0.16,1.25
1481,0.52,0.56,0.0,0.17,1.25
827,0.66,0.47,0.0,0.11,1.24
974,0.54,0.06,0.62,0.01,1.23
823,0.44,0.41,0.21,0.17,1.23
1092,1.05,0.06,0.01,0.11,1.23
872,0.5,0.63,0.0,0.1,1.23
673,0.5,0.53,0.0,0.2,1.22
1451,0.58,0.16,0.46,0.03,1.22
591,0.27,0.08,0.85,0.02,1.22
509,0.98,0.19,0.0,0.05,1.22
1148,1.03,0.14,0.0,0.04,1.21
690,0.48,0.13,0.56,0.03,1.2
1414,0.86,0.32,0.0,0.02,1.19
1463,0.41,0.66,0.0,0.12,1.19
1427,0.64,0.24,0.29,0.02,1.19
1176,0.52,0.24,0.38,0.04,1.18
184,0.95,0.15,0.0,0.08,1.18
890,0.41,0.07,0.04,0.66,1.18
1152,0.03,1.06,0.0,0.09,1.17
1455,0.98,0.04,0.0,0.16,1.17
1360,0.54,0.49,0.01,0.12,1.17
1162,0.68,0.1,0.39,0.0,1.17
912,0.51,0.51,0.01,0.13,1.17
1436,0.68,0.25,0.21,0.02,1.17
818,0.58,0.45,0.0,0.14,1.16
476,0.57,0.08,0.5,0.01,1.16
869,0.78,0.03,0.2,0.13,1.14
912,0.31,0.59,0.02,0.22,1.14
1493,0.65,0.37,0.0,0.11,1.14
1493,0.28,0.3,0.0,0.54,1.12
622,0.62,0.4,0.0,0.08,1.11
1255,0.45,0.31,0.29,0.06,1.11
1493,0.53,0.4,0.0,0.17,1.1
1280,0.45,0.33,0.29,0.03,1.1
683,0.54,0.21,0.31,0.04,1.1
1278,0.31,0.22,0.45,0.12,1.1
595,0.43,0.41,0.0,0.25,1.09
1293,0.24,0.55,0.0,0.31,1.09
1279,0.05,0.04,0.84,0.16,1.09
1501,0.89,0.03,0.01,0.15,1.09
1246,0.64,0.28,0.04,0.13,1.09
1358,0.47,0.41,0.03,0.18,1.08
799,0.36,0.64,0.0,0.08,1.08
1379,0.89,0.03,0.0,0.15,1.07
1128,0.53,0.4,0.03,0.11,1.07
1422,0.18,0.81,0.0,0.08,1.06
1161,0.39,0.41,0.1,0.16,1.06
1414,0.78,0.26,0.0,0.01,1.05
890,0.44,0.49,0.0,0.11,1.05
1293,0.54,0.4,0.0,0.11,1.05
1425,0.58,0.4,0.0,0.07,1.04
315,0.33,0.37,0.26,0.09,1.04
630,0.61,0.34,0.0,0.09,1.04
989,0.56,0.33,0.01,0.14,1.03
1079,0.33,0.51,0.01,0.18,1.03
1293,0.45,0.47,0.0,0.11,1.03
1213,0.96,0.07,0.0,0.0,1.03
1386,0.94,0.01,0.0,0.08,1.03
1347,0.61,0.32,0.01,0.08,1.02
913,0.34,0.28,0.1,0.3,1.01
1358,0.54,0.35,0.02,0.1,1.01
914,0.44,0.46,0.01,0.09,1.01
1511,0.33,0.48,0.02,0.18,1.01
952,0.21,0.61,0.0,0.18,1.01
662,0.44,0.38,0.0,0.17,1.0
839,0.64,0.28,0.0,0.08,1.0
662,0.64,0.28,0.0,0.08,0.99
860,0.49,0.07,0.39,0.05,0.99
936,0.02,0.88,0.0,0.08,0.99
181,0.21,0.62,0.0,0.14,0.98
1044,0.49,0.26,0.16,0.08,0.98
546,0.45,0.44,0.0,0.08,0.98
85,0.0,0.92,0.0,0.05,0.98
289,0.4,0.44,0.0,0.13,0.97
1382,0.15,0.14,0.63,0.05,0.97
1339,0.5,0.28,0.04,0.14,0.96
989,0.54,0.33,0.0,0.09,0.96
1348,0.25,0.56,0.0,0.15,0.96
973,0.28,0.53,0.0,0.13,0.94
1348,0.48,0.36,0.02,0.08,0.94
823,0.51,0.26,0.09,0.08,0.94
1361,0.78,0.03,0.0,0.13,0.94
702,0.48,0.3,0.08,0.08,0.94
523,0.75,0.03,0.04,0.12,0.94
620,0.57,0.33,0.0,0.04,0.94
877,0.42,0.41,0.0,0.11,0.93
1375,0.71,0.2,0.0,0.01,0.93
1246,0.63,0.2,0.02,0.07,0.92
971,0.01,0.83,0.0,0.08,0.92
530,0.26,0.39,0.12,0.14,0.92
1293,0.38,0.37,0.0,0.15,0.91
595,0.51,0.29,0.0,0.09,0.9
1170,0.6,0.22,0.05,0.02,0.89
656,0.42,0.16,0.3,0.02,0.89
630,0.42,0.36,0.04,0.07,0.89
